# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
8.687016021274311939e+00,6.337663060074085308e+00,3.863373881430774315e+00,2.953517737860896553e+00,3.138000520229401458e-01,5.442056871732829038e+00,-2.816894270006125467e+00
8.786866780139533262e+00,6.320545980032255429e+00,3.765022439865261639e+00,2.985141778694266446e+00,3.199421450078231421e-01,5.390124760538302695e+00,-2.814529505099158335e+00
8.886717539004756361e+00,6.306568160260162870e+00,3.666090480804833796e+00,3.017410901074612628e+00,3.249456378106346244e-01,5.337731645587165730e+00,-2.846956683195167592e+00
8.986568297869977684e+00,6.295807336626715767e+00,3.566734466072231324e+00,3.050069062495704308e+00,3.288503445122378799e-01,5.284206425732795864e+00,-2.922115207601560627e+00
9.086419056735199007e+00,6.288335684211206811e+00,3.467373412903832275e+00,3.083094025783959857e+00,3.339977972681962837e-01,5.228698376060195940e+00,-2.964523755295904728e+00
9.186269815600422106e+00,6.284154977574440082e+00,3.367264141734513050e+00,3.116651313248580912e+00,3.360588095400089403e-01,5.171775982632462743e+00,-3.106858965361636749e+00
9.286120574465643429e+00,6.283343715050120792e+00,3.267599726774331526e+00,-3.132870395511711870e+00,3.396990456345034270e-01,5.111440341408361121e+00,-3.214930637897359667e+00
9.385971333330866528e+00,6.285922896101635793e+00,3.167576545648990383e+00,-3.098716708890249194e+00,3.422564668617756878e-01,5.048246808149400522e+00,-3.364388571908912162e+00
9.485822092196087851e+00,6.291913393433175905e+00,3.067867245869359660e+00,-3.064410301090312316e+00,3.448602117192856586e-01,4.981257103577915402e+00,-3.527407481399349454e+00
9.585672851061309174e+00,6.301309545808561730e+00,2.968657822873707719e+00,-3.029856684962357161e+00,3.482814537737534133e-01,4.910040091919441352e+00,-3.682654245400853732e+00
9.685523609926532274e+00,6.314224047755170766e+00,2.869279522871003962e+00,-2.994825700471884122e+00,3.510065738276242908e-01,4.834569480540459985e+00,-3.872923890881103226e+00
9.785374368791753596e+00,6.330454163299562786e+00,2.771355224377057613e+00,-2.959797477638459462e+00,3.549659551772536004e-01,4.753907159706614038e+00,-4.052218656054139778e+00
9.885225127656974919e+00,6.350384300366953561e+00,2.672889607630390518e+00,-2.923884505299699121e+00,3.600638606916075624e-01,4.668018751817539780e+00,-4.224539059959292686e+00
9.985075886522198019e+00,6.373622481993281852e+00,2.576136598823548951e+00,-2.887774001521648426e+00,3.658297420049292925e-01,4.576762196721035458e+00,-4.408747575391360307e+00
1.008492664538741934e+01,6.400529773619848761e+00,2.479760095631122319e+00,-2.850724422280264569e+00,3.757733311269123022e-01,4.479544466041016193e+00,-4.527656689160875381e+00
1.018477740425264066e+01,6.430940202338164546e+00,2.384759495865018231e+00,-2.812670752869222746e+00,3.871238174562382506e-01,4.377458019290519253e+00,-4.651807866527776447e+00
1.028462816311786376e+01,6.464985535097713232e+00,2.291035578183980626e+00,-2.773376067136273271e+00,4.039048169464967142e-01,4.270031102874409790e+00,-4.699000058265252910e+00
1.038447892198308509e+01,6.502852624317239538e+00,2.198590028962822629e+00,-2.731905549776717734e+00,4.260166166925489772e-01,4.158697894301032427e+00,-4.607622456089249141e+00
1.048432968084830819e+01,6.544480906675229193e+00,2.108122362957778773e+00,-2.688318130550119811e+00,4.553192409442310962e-01,4.046556434606334740e+00,-4.217774383586193387e+00
1.058418043971352951e+01,6.590344444915139377e+00,2.019346056748831053e+00,-2.640332162423270290e+00,5.049000696621797069e-01,3.941106828367785475e+00,-3.852701215655094380e+00
1.068403119857875083e+01,6.640506122875523332e+00,1.933188727143326568e+00,-2.587566982888022782e+00,5.557411899411126566e-01,3.842256205991336770e+00,-3.171534142967177061e+00
1.078388195744397393e+01,6.695575147928503945e+00,1.849683089231176414e+00,-2.528401808117037852e+00,6.286876958652575231e-01,3.758932371112104320e+00,-2.355534516039279325e+00
1.088373271630919525e+01,6.755523748268355888e+00,1.770138827151734651e+00,-2.461752058439468538e+00,7.099458043858093426e-01,3.695831266802501069e+00,-1.925168326215627834e+00
1.098358347517441658e+01,6.821380698269518206e+00,1.694484799307072187e+00,-2.387996203247328086e+00,7.628151349003221560e-01,3.643447504224967215e+00,-1.242017579376176295e+00
1.108343423403963968e+01,6.892176278947799162e+00,1.624697562071996559e+00,-2.308939026190560462e+00,8.297082550188117356e-01,3.609248802783457943e+00,-8.743674858548263762e-01
1.118328499290486100e+01,6.969380045722613382e+00,1.560232355250345648e+00,-2.223481767539190912e+00,8.695347372725051871e-01,3.584977601940417369e+00,-1.004535432223099128e-01
1.128313575177008232e+01,7.050767406047483199e+00,1.503513968100971265e+00,-2.134369364854693529e+00,9.311992994211927277e-01,3.582178622203472607e+00,-8.099840355053448959e-02
1.138298651063530542e+01,7.138552287236396232e+00,1.453673518486353178e+00,-2.040218180211423871e+00,9.256904979485018892e-01,3.579920135596433184e+00,-4.950563071522477016e-02
1.148283726950052674e+01,7.228553055280781514e+00,1.413085047182344622e+00,-1.948526862615010069e+00,9.370650094694287224e-01,3.578539063313233015e+00,-4.950563071523278458e-02
1.158268802836574984e+01,7.324645349170520348e+00,1.379966015090236864e+00,-1.859411161870339724e+00,7.998215291751906708e-01,3.577157457824398978e+00,1.715971928380389810e+00
1.168253878723097117e+01,7.419720659112306826e+00,1.355497298182625210e+00,-1.788609416315126932e+00,6.335234601759724971e-01,3.624739670176206463e+00,3.625509280964786640e+00
